
learning rate:0.0001
batch_size:8
epoch:10
Epoch:[   1] [ 156/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 157/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 158/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 159/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 160/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 161/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 162/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 163/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 164/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 165/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 166/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 167/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 168/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 169/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 170/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 171/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 172/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 173/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 174/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 175/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 176/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 177/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 178/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 179/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 180/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 181/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 182/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 183/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 184/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 185/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 186/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 187/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 188/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 189/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 190/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 191/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 192/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 193/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 194/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 195/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 196/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 197/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 198/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 199/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 200/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 201/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 202/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 203/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 204/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 205/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 206/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 207/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 208/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 209/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 210/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 211/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 212/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 213/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 214/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 215/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 216/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 217/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 218/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 219/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 220/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 221/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 222/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 223/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 224/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 225/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 226/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 227/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 228/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 229/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 230/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 231/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 232/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 233/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 234/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 235/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 236/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 237/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 238/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 239/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 240/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 241/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 242/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 243/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 244/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 245/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 246/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 247/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 248/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 249/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 250/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 251/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 252/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 253/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 254/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 255/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 256/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 257/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 258/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 259/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 260/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 261/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 262/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 263/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 264/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 265/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 266/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 267/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 268/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 269/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 270/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 271/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 272/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 273/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 274/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 275/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 276/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 277/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 278/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 279/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 280/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 281/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 282/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 283/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 284/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 285/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 286/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 287/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 288/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 289/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 290/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 291/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 292/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 293/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 294/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 295/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 296/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 297/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 298/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 299/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 300/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 301/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 302/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 303/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 304/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 305/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 306/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 307/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 308/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 309/ 400], accuracy:[0.37500000]
